id,government_id,name,slug,created,contacts
1,1,THE TEST AGENCY,the-test-agency,2013-10-02 02:37:21+00:00,8
2,1,U. S. Customs & Border Protection (CBP),u-s-customs-border-protection-cbp,2013-10-09 16:21:20+00:00,2
3,1,United States Postal Service,united-states-postal-service,2013-10-10 02:14:01+00:00,1
4,1,Securities and Exchange Commission,securities-and-exchange-commission,2013-10-10 02:35:23+00:00,1
5,1,U.S. Department of Education,us-department-of-education,2013-10-16 04:11:43+00:00,1
6,16,New York City Department of Education,new-york-city-department-of-education,2013-10-21 04:29:59+00:00,3
7,16,New York City Fire Department (FDNY),new-york-city-fire-department-fdny,2013-10-21 04:34:56+00:00,1
8,1,National Security Agency,national-security-agency,2013-11-12 14:51:42+00:00,0
9,36,National Archives FOIA Service Centers,national-archives-foia-service-centers,2013-11-19 05:35:13+00:00,1
10,1,Federal Bureau of Investigation,federal-bureau-of-investigation,2013-11-20 19:34:39+00:00,0
11,32,Boston Police Department,boston-police-department,2013-11-21 18:05:06+00:00,0
12,1,Los Angeles,los-angeles,2013-11-22 05:29:12+00:00,0
13,1,Department of Justice ,department-of-justice,2013-11-25 16:33:34+00:00,0
14,1,Federal Emergency Management Agency (FEMA),federal-emergency-management-agency-fema,2013-12-02 20:46:58+00:00,1
15,25,New Jersey Department of Environmental Protection(NJ DEP),new-jersey-department-of-environmental-protectionn,2013-12-02 21:33:33+00:00,1
16,40,University of Alabama,university-of-alabama,2013-12-08 23:10:29+00:00,0
17,1,Department of State,department-of-state,2013-12-17 23:18:47+00:00,1
18,1,Department of State,department-of-state-2,2013-12-17 23:18:47+00:00,0
19,1,Internal Revenue Service,internal-revenue-service,2013-12-29 21:04:33+00:00,1
20,30,City of Oakland,city-of-oakland,2014-01-14 22:09:27+00:00,0
21,24,Maine Health and Human Services,maine-health-and-human-services,2014-01-16 22:26:31+00:00,1
22,14,Centers for Medicare & Medicaid Services Office of the Regional Administrator,centers-for-medicare-medicaid-services-office-of-t,2014-01-17 20:02:33+00:00,1
23,33,Mississippi State Department of Health ,mississippi-state-department-of-health,2014-01-17 20:45:40+00:00,2
24,16,New York State Department of Health,new-york-state-department-of-health,2014-01-17 21:24:50+00:00,1
